Rabeta nao regulada;5 HP;0.3
Rabeta regulada;5 HP;0.3
Rabeta nao regulada;7 HP;0.4
Rabeta regulada;7 HP;0.4
Voadeira;40 HP;1.6
Voadeira;60 HP;1.8
Voadeira;115 HP;1.2
Voadeira;90 HP;1
